epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5692,1.5039,1.52686,1.38369,0.68486,0.77213,0.7536,0.48771,1.19884,1.28733,1.14472,0.00065942,0.00065942,0.00065942
2,32.6403,1.30366,1.08323,1.23554,0.73384,0.82768,0.83953,0.51399,1.3567,1.12637,1.27318,0.00130733,0.00130733,0.00130733
3,46.7787,1.28442,1.0233,1.235,0.72111,0.81544,0.81553,0.49894,1.34278,1.32672,1.30331,0.00193639,0.00193639,0.00193639
4,59.4125,1.27191,0.99237,1.2364,0.81837,0.83158,0.88315,0.45,1.58792,1.02791,1.25928,0.00191514,0.00191514,0.00191514
5,71.6346,1.21328,0.93627,1.20519,0.81906,0.82692,0.8766,0.53234,1.3506,0.95468,1.16619,0.00188686,0.00188686,0.00188686
6,83.681,1.18551,0.89068,1.19342,0.77143,0.73823,0.83088,0.5503,1.20947,0.94623,1.16717,0.00185857,0.00185857,0.00185857
7,96.7688,1.16605,0.86442,1.177,0.79626,0.85008,0.88163,0.59866,1.12644,0.83287,1.08933,0.00183029,0.00183029,0.00183029
8,108.954,1.15579,0.8383,1.17391,0.83201,0.87211,0.91142,0.59138,1.1997,0.83999,1.10519,0.001802,0.001802,0.001802
9,121.276,1.15235,0.82198,1.17289,0.79476,0.82042,0.87854,0.58769,1.16066,0.89702,1.12439,0.00177371,0.00177371,0.00177371
10,134.371,1.12651,0.80039,1.15916,0.83754,0.8592,0.91141,0.60424,1.20943,0.8023,1.12811,0.00174543,0.00174543,0.00174543
11,147.183,1.1307,0.80063,1.1611,0.83586,0.85405,0.92151,0.6076,1.21042,0.75407,1.09647,0.00171714,0.00171714,0.00171714
12,159.987,1.08712,0.77888,1.14249,0.80493,0.8781,0.90626,0.63496,1.05694,0.77248,1.10573,0.00168886,0.00168886,0.00168886
13,173.505,1.08337,0.76443,1.14429,0.8262,0.85051,0.90212,0.63706,1.09356,0.74304,1.10501,0.00166057,0.00166057,0.00166057
14,186.608,1.08454,0.76091,1.14551,0.81516,0.86629,0.89705,0.62721,1.07947,0.74921,1.11964,0.00163229,0.00163229,0.00163229
15,199.614,1.0692,0.74912,1.13858,0.81045,0.86159,0.88784,0.62819,1.05452,0.75395,1.09106,0.001604,0.001604,0.001604
16,212.534,1.03994,0.73592,1.12951,0.81833,0.8823,0.9069,0.6338,1.05858,0.7354,1.07618,0.00157571,0.00157571,0.00157571
17,225.498,1.02925,0.73464,1.11602,0.84106,0.872,0.92701,0.62635,1.16755,0.71291,1.08433,0.00154743,0.00154743,0.00154743
18,238.45,1.02803,0.72385,1.11437,0.82985,0.87382,0.92366,0.64618,1.0577,0.72649,1.07349,0.00151914,0.00151914,0.00151914
19,251.317,1.02019,0.70922,1.11136,0.86298,0.83027,0.9161,0.65235,1.04525,0.71267,1.05861,0.00149086,0.00149086,0.00149086
20,264.354,1.03456,0.70954,1.11648,0.81486,0.89266,0.92588,0.66715,1.00371,0.7054,1.04882,0.00146257,0.00146257,0.00146257
21,277.266,1.01027,0.69458,1.10433,0.84298,0.86629,0.91631,0.65427,1.03739,0.71354,1.07548,0.00143429,0.00143429,0.00143429
22,290.224,0.99254,0.68056,1.10031,0.82746,0.85782,0.91285,0.63822,1.075,0.72983,1.06812,0.001406,0.001406,0.001406
23,303.442,0.97421,0.66911,1.09142,0.82413,0.88252,0.92234,0.66793,1.00108,0.68556,1.04894,0.00137771,0.00137771,0.00137771
24,316.434,0.98498,0.67339,1.09597,0.85055,0.87382,0.92473,0.67391,1.00238,0.67146,1.03409,0.00134943,0.00134943,0.00134943
25,329.945,0.98251,0.66138,1.08727,0.8183,0.86158,0.90771,0.64102,1.05047,0.71684,1.0774,0.00132114,0.00132114,0.00132114
26,342.425,0.94984,0.64242,1.07794,0.84803,0.86696,0.92281,0.643,1.08208,0.66826,1.06982,0.00129286,0.00129286,0.00129286
27,355.016,0.95151,0.64617,1.0842,0.8487,0.8823,0.92377,0.66918,0.99493,0.6692,1.05268,0.00126457,0.00126457,0.00126457
28,366.691,0.9493,0.65131,1.08158,0.85813,0.86064,0.93133,0.68577,1.008,0.6496,1.05327,0.00123629,0.00123629,0.00123629
29,378.981,0.95375,0.63948,1.07913,0.84381,0.88513,0.93257,0.68913,0.98221,0.64112,1.0327,0.001208,0.001208,0.001208
30,390.737,0.94299,0.64038,1.07212,0.82898,0.89548,0.93518,0.68423,1.00096,0.65975,1.0628,0.00117971,0.00117971,0.00117971
31,405.171,0.9536,0.63508,1.08086,0.83896,0.86829,0.92333,0.68491,0.96837,0.64492,1.03396,0.00115143,0.00115143,0.00115143
32,425.256,0.92605,0.61857,1.06378,0.85165,0.83051,0.92284,0.67597,1.00036,0.71549,1.06102,0.00112314,0.00112314,0.00112314
33,440.944,0.91111,0.61627,1.06101,0.86835,0.86064,0.92453,0.65788,1.06458,0.66544,1.04603,0.00109486,0.00109486,0.00109486
34,455.687,0.9131,0.61047,1.05747,0.84614,0.88549,0.92473,0.68873,0.95956,0.63142,1.03744,0.00106657,0.00106657,0.00106657
35,470.129,0.90597,0.60454,1.05796,0.84414,0.86347,0.92057,0.67891,0.95287,0.64821,1.04565,0.00103829,0.00103829,0.00103829
36,484.488,0.91534,0.61245,1.06122,0.84118,0.87274,0.92103,0.68551,0.96623,0.63455,1.03126,0.00101,0.00101,0.00101
37,498.804,0.89767,0.59443,1.05312,0.87349,0.85817,0.93594,0.69116,0.9887,0.64171,1.03422,0.000981714,0.000981714,0.000981714
38,513.06,0.88477,0.59522,1.05235,0.84659,0.87006,0.9308,0.67126,1.03098,0.65258,1.04638,0.000953429,0.000953429,0.000953429
39,527.448,0.89398,0.5984,1.05454,0.85672,0.87853,0.93563,0.69911,0.96158,0.6021,1.02526,0.000925143,0.000925143,0.000925143
40,541.782,0.87502,0.5808,1.04304,0.85915,0.88041,0.93176,0.69297,0.96064,0.61223,1.02135,0.000896857,0.000896857,0.000896857
41,556.103,0.87721,0.58177,1.05011,0.84723,0.87759,0.9246,0.68785,0.96044,0.6419,1.03331,0.000868571,0.000868571,0.000868571
42,570.613,0.87041,0.57304,1.04029,0.85171,0.88156,0.93715,0.69284,0.96864,0.62958,1.03105,0.000840286,0.000840286,0.000840286
43,585.09,0.86083,0.5731,1.03905,0.85946,0.87526,0.92292,0.69378,0.94541,0.61824,1.02125,0.000812,0.000812,0.000812
44,599.505,0.85974,0.5684,1.03781,0.87074,0.87532,0.93412,0.69435,0.98461,0.62602,1.03623,0.000783714,0.000783714,0.000783714
